date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:31	304473/304473	---M--	200	added ('OK')	image/jpeg	etag:%224a559-61d067d8d28c4%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-6.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-6.jpg	(from https://html.vecurosoft.com/garix/demo/blog.html)
13:40:32	268738/268738	---M--	200	added ('OK')	image/jpeg	etag:%22419c2-61d067d8f8a23%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-8.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-8.jpg	(from https://html.vecurosoft.com/garix/demo/blog.html)
13:40:32	180927/180927	---M--	200	added ('OK')	image/jpeg	etag:%222c2bf-61d067d90e1e3%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-9.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-9.jpg	(from https://html.vecurosoft.com/garix/demo/blog.html)
13:40:32	242056/242056	---M--	200	added ('OK')	image/jpeg	etag:%223b188-61d067d8f3c03%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-7.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-h-1-7.jpg	(from https://html.vecurosoft.com/garix/demo/blog.html)
13:40:34	73847/73847	---M--	200	added ('OK')	image/jpeg	etag:%2212077-61d067d8558c7%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-d-2.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-d-2.jpg	(from https://html.vecurosoft.com/garix/demo/blog-details.html)
13:40:34	47661/47661	---M--	200	added ('OK')	image/jpeg	etag:%22ba2d-61d067d863387%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-d-3.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-d-3.jpg	(from https://html.vecurosoft.com/garix/demo/blog-details.html)
13:40:34	56924/56924	---M--	200	added ('OK')	image/jpeg	etag:%22de5c-61d067d850aa7%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/blog-d-1.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/blog-d-1.jpg	(from https://html.vecurosoft.com/garix/demo/blog-details.html)
13:40:34	12755/12755	---M--	200	added ('OK')	image/jpeg	etag:%2231d3-61d067d975a20%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/page-1-1.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/page-1-1.jpg	(from https://html.vecurosoft.com/garix/demo/blog-details.html)
13:40:34	12104/12104	---M--	200	added ('OK')	image/jpeg	etag:%222f48-61d067d9834e0%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/page-1-2.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/page-1-2.jpg	(from https://html.vecurosoft.com/garix/demo/blog-details.html)
13:40:35	11637/11637	---M--	200	added ('OK')	image/jpeg	etag:%222d75-61d067d9546e1%22	https://html.vecurosoft.com/garix/demo/assets/img/blog/comment-author-1.jpg	C:/Users/DELL/Desktop/test19/html.vecurosoft.com/garix/demo/assets/img/blog/comment-author-1.jpg	(from https://html.vecurosoft.com/garix/demo/blog-details.html)
